"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT06","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-15",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-16",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-17",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-18",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-19",,,"0.07",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-20",,,"0.63",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-21",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-11-23",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-02","    9","1.31",,,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-04",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-05",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-06",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-07",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-08",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-09",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-10",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-11",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-12",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-12-31",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2016-01-01",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2016-01-02",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2016-01-03",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2016-01-04",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2016-01-05",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2016-01-06",,,"0.00",,,,,,,,,,
